                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.91426,                0.89223,                 1.4048,                0.95881,                 0.9602,                0.98664,                0.74592,                0.94834,                 0.5612,                 1.6458,             0.00066095,             0.00066095,             0.00066095
                    122,                0.88993,                0.87006,                 1.3973,                0.96931,                0.97908,                0.98752,                 0.7459,                0.92962,                0.56345,                 1.5629,               0.000656,               0.000656,               0.000656
                    123,                0.92297,                0.88571,                 1.4133,                0.94457,                0.92378,                0.98413,                0.72661,                0.94817,                0.64292,                 1.6279,             0.00065105,             0.00065105,             0.00065105
                    124,                 0.9018,                0.94457,                 1.4148,                0.93112,                0.91378,                 0.9824,                0.73955,                0.93867,                0.63583,                 1.6022,              0.0006461,              0.0006461,              0.0006461
                    125,                0.89176,                0.87511,                 1.4124,                0.91173,                  0.975,                0.99056,                 0.7533,                0.88414,                0.56233,                 1.5242,             0.00064115,             0.00064115,             0.00064115
                    126,                0.92758,                0.95819,                 1.4256,                0.94954,                0.94959,                0.98546,                0.76753,                 0.8903,                 0.5835,                 1.5364,              0.0006362,              0.0006362,              0.0006362
                    127,                 0.9158,                0.83704,                 1.4024,                0.98578,                0.89915,                0.98752,                0.77224,                0.95526,                0.60058,                 1.6287,             0.00063125,             0.00063125,             0.00063125
                    128,                0.87512,                 0.8655,                 1.3803,                0.94121,                0.94118,                0.98634,                0.75015,                0.96085,                0.61976,                 1.6317,              0.0006263,              0.0006263,              0.0006263
                    129,                0.90954,                0.88977,                  1.415,                0.95486,                0.98008,                   0.99,                0.75226,                0.95845,                 0.5902,                 1.6675,             0.00062135,             0.00062135,             0.00062135
                    130,                0.87387,                0.84553,                 1.3699,                0.94373,                0.97526,                0.99165,                0.79215,                0.91036,                 0.5619,                 1.5535,              0.0006164,              0.0006164,              0.0006164
                    131,                0.90145,                0.89254,                  1.389,                0.91934,                0.94385,                0.98187,                0.73243,                0.92624,                0.60904,                 1.5864,             0.00061145,             0.00061145,             0.00061145
                    132,                0.84971,                 0.8289,                 1.3533,                0.89397,                0.93308,                0.93894,                0.73258,                0.85911,                0.71456,                 1.5252,              0.0006065,              0.0006065,              0.0006065
                    133,                0.89511,                0.82383,                 1.4002,                0.92337,                0.89934,                0.98706,                0.77767,                0.86229,                0.64241,                  1.517,             0.00060155,             0.00060155,             0.00060155
                    134,                0.91895,                 0.8883,                 1.3868,                0.94978,                0.97255,                0.99096,                0.74872,                0.95096,                0.55703,                 1.6399,              0.0005966,              0.0005966,              0.0005966
                    135,                0.90064,                0.84694,                 1.3982,                 0.9687,                0.92998,                0.99242,                0.73175,                0.94565,                0.57664,                 1.5778,             0.00059165,             0.00059165,             0.00059165
                    136,                0.90068,                0.90066,                 1.4098,                0.91068,                0.96768,                0.98877,                0.77351,                0.87061,                0.55486,                 1.5265,              0.0005867,              0.0005867,              0.0005867
                    137,                0.90519,                 0.8661,                 1.3764,                0.92388,                0.95431,                0.98367,                0.76302,                0.91134,                0.62441,                  1.549,             0.00058175,             0.00058175,             0.00058175
                    138,                0.93698,                0.89309,                 1.4113,                0.92555,                0.96057,                0.98806,                0.75592,                0.93217,                0.60916,                  1.558,              0.0005768,              0.0005768,              0.0005768
                    139,                0.86666,                0.81813,                 1.3684,                0.99067,                 0.9593,                0.99304,                0.74714,                0.91748,                0.53213,                 1.5656,             0.00057185,             0.00057185,             0.00057185
                    140,                0.86651,                0.79062,                 1.3543,                0.97705,                0.94484,                0.99152,                0.78847,                0.81194,                0.50777,                 1.4591,              0.0005669,              0.0005669,              0.0005669
                    141,                0.84578,                0.79586,                 1.3564,                0.97415,                  0.946,                 0.9919,                0.77012,                  0.872,                0.53671,                 1.4955,             0.00056195,             0.00056195,             0.00056195
                    142,                0.91748,                0.86859,                 1.4163,                0.95508,                0.98018,                0.99177,                0.79871,                0.87766,                0.49917,                 1.5164,               0.000557,               0.000557,               0.000557
                    143,                0.86837,                0.83792,                 1.3683,                0.82608,                0.90583,                0.97102,                0.74704,                 0.8981,                0.79912,                 1.5278,             0.00055205,             0.00055205,             0.00055205
                    144,                0.83159,                 0.8388,                 1.3683,                0.94774,                0.96519,                0.99057,                0.79378,                0.84236,                0.52215,                 1.4554,              0.0005471,              0.0005471,              0.0005471
                    145,                0.83275,                0.81574,                 1.3365,                0.98301,                0.95433,                0.99455,                0.78406,                0.87405,                0.52724,                 1.5044,             0.00054215,             0.00054215,             0.00054215
                    146,                0.83905,                0.79309,                 1.3492,                 0.9686,                0.97704,                0.99274,                0.75474,                0.88048,                 0.5088,                 1.4997,              0.0005372,              0.0005372,              0.0005372
                    147,                0.82125,                0.79589,                 1.3267,                0.97936,                0.96678,                0.99398,                 0.7962,                0.80308,                0.50311,                 1.4409,             0.00053225,             0.00053225,             0.00053225
